Camera Location,Quadrant,Camera URL,longitude,latitude,col,row,grid_cell
Country Hills Blvd / 36 Street NE,NE,http://trafficcam.calgary.ca/loc73.jpg,-113.98172893067787,51.154301589903795,8,9,9 -- 8
Southland Drive / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc71.jpg,-114.038760327918,50.96584162366361,7,4,4 -- 7
22 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc19.jpg,-113.99471554505871,51.033774883435996,8,6,6 -- 8
Riverfront Avenue / 1 Street SE,SE,http://trafficcam.calgary.ca/loc121.jpg,-114.06001413696026,51.05113127254379,6,6,6 -- 6
Peigan Trail / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc1.jpg,-114.00268868788996,51.01497251983211,7,5,5 -- 7
John Laurie Blvd / 14 Street NW,NW,http://trafficcam.calgary.ca/loc97.jpg,-114.09476969748634,51.08971765573821,5,7,7 -- 5
Glenmore Trail / 18 Street SE,SE,http://trafficcam.calgary.ca/loc110.jpg,-114.01570364922588,50.97903527262542,7,4,4 -- 7
33 Avenue / Crowchild Trail SW,SW,http://trafficcam.calgary.ca/loc123.jpg,-114.1173688243964,51.02407364916755,5,5,5 -- 5
Glenmore Trail / 52 Street SE,SE,http://trafficcam.calgary.ca/loc64.jpg,-113.95877978420052,50.9798023700848,8,4,4 -- 8
4 Avenue / 9 Street SW,SW,http://trafficcam.calgary.ca/loc5.jpg,-114.0835214920636,51.04996013094652,6,6,6 -- 6
32 Avenue / 36 Street NE,NE,http://trafficcam.calgary.ca/loc106.jpg,-113.98232605342363,51.081549946058686,8,7,7 -- 8
Beddington Trail / Country Hills Blvd NW,NW,http://trafficcam.calgary.ca/loc42.jpg,-114.09223915051751,51.14389223271082,5,9,9 -- 5
12 Avenue / 5 Street SW,SW,http://trafficcam.calgary.ca/loc76.jpg,-114.0741757531226,51.041756741707665,6,6,6 -- 6
Kensington Road / Crowchild Trail NW,NW,http://trafficcam.calgary.ca/loc4.jpg,-114.11808817102144,51.05248735760135,5,6,6 -- 5
4 Avenue / 10 Street SW,SW,http://trafficcam.calgary.ca/loc55.jpg,-114.0868195955438,51.049176789937036,6,6,6 -- 6
7 Avenue / 8 Street SW,SW,http://trafficcam.calgary.ca/loc107.jpg,-114.08118406671116,51.04703022722036,6,6,6 -- 6
Bow Trail / Crowchild Trail SW,SW,http://trafficcam.calgary.ca/loc124.jpg,-114.11277543920973,51.04360095035811,5,6,6 -- 5
114 Avenue / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc108.jpg,-113.98164399227282,50.95052536152956,8,3,3 -- 8
17 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc18.jpg,-114.00508589702288,51.03680263921096,7,6,6 -- 7
McKnight Blvd / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc51.jpg,-114.04045433764314,51.096048209052455,7,7,7 -- 7
16 Avenue / Edmonton Trail NE,NE,http://trafficcam.calgary.ca/loc65.jpg,-114.05621018585535,51.0668211101415,6,7,7 -- 6
Bannister Road / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc9.jpg,-114.07165117815374,50.92515465681974,6,3,3 -- 6
Glenmore Trail / 1A Street SW,SW,http://trafficcam.calgary.ca/loc28.jpg,-114.06733242591572,50.99436022519021,6,5,5 -- 6
Crowchild Trail / Nosehill Drive NW,NW,http://trafficcam.calgary.ca/loc22.jpg,-114.20245147733084,51.1200648753833,3,8,8 -- 3
Heritage Drive / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc87.jpg,-114.05049384996964,50.98091787428928,6,4,4 -- 6
Anderson Road / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc99.jpg,-114.07071680539244,50.950579292434035,6,3,3 -- 6
25 Avenue / Spiller Road SE,SE,http://trafficcam.calgary.ca/loc46.jpg,-114.05015970632836,51.02975948300765,6,6,6 -- 6
Lake Fraser Gate / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc88.jpg,-114.06941349005236,50.93942101524657,6,3,3 -- 6
Stoney Trail / Beddington Trail NW,NW,http://trafficcam.calgary.ca/loc100.jpg,-114.11492571494574,51.156575129157865,5,9,9 -- 5
Stoney Trail / 88 Street SE,SE,http://trafficcam.calgary.ca/loc25.jpg,-113.90727675163431,50.90645397801385,9,2,2 -- 9
Canyon Meadows Dr / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc118.jpg,-114.0694187532816,50.93187048257907,6,3,3 -- 6
McKnight Blvd / Centre St N,NW/NE,http://trafficcam.calgary.ca/loc96.jpg,-114.0623633841418,51.09597457014086,6,7,7 -- 6
Glenmore Trail / 14 Street SW (West),SW,http://trafficcam.calgary.ca/loc111.jpg,-114.09497807519124,50.99380954405774,5,5,5 -- 5
64 Avenue / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc67.jpg,-114.04803210227348,51.11050635159031,6,8,8 -- 6
17 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc77.jpg,-113.95824682811548,51.03780978427815,8,6,6 -- 8
5 Avenue / 3 Street SE,SE,http://trafficcam.calgary.ca/loc95.jpg,-114.05547866705824,51.0481759832609,6,6,6 -- 6
16 Avenue / 36 Street NE,NE,http://trafficcam.calgary.ca/loc38.jpg,-113.98141464699087,51.06694497892773,8,7,7 -- 8
34 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc20.jpg,-113.99984106706684,51.02328521331411,7,5,5 -- 7
6 Avenue / 1 Street SE,SE,http://trafficcam.calgary.ca/loc32.jpg,-114.06067482719048,51.047237570868155,6,6,6 -- 6
25 Avenue / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc81.jpg,-114.05983961675844,51.03047320909234,6,6,6 -- 6
130 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc10.jpg,-113.97505521976973,50.931961269299,8,3,3 -- 8
Heritage Drive / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc8.jpg,-114.0717744854012,50.97938673680194,6,4,4 -- 6
149 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc11.jpg,-114.07030566714813,50.91888662078939,6,3,3 -- 6
12 Avenue / Olympic Way SE,SE,http://trafficcam.calgary.ca/loc80.jpg,-114.05349247579541,51.0411472966639,6,6,6 -- 6
58 Avenue / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc82.jpg,-114.04901017448007,51.00130201641146,6,5,5 -- 6
Airport Trail / 36 Street NE,NE,http://trafficcam.calgary.ca/loc113.jpg,-113.9816889358848,51.139779285285094,8,9,9 -- 8
Memorial Drive / 10 Street NW,NW,http://trafficcam.calgary.ca/loc35.jpg,-114.08582422807301,51.05194240528616,6,6,6 -- 6
16 Avenue / 10 Street NW,NW,http://trafficcam.calgary.ca/loc74.jpg,-114.08492162063844,51.06680683528496,6,7,7 -- 6
Highfield Road / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc40.jpg,-114.04790599138398,51.02106723740098,6,5,5 -- 6
Memorial Drive / 14 Street NW,NW,http://trafficcam.calgary.ca/loc57.jpg,-114.09319948638716,51.04963898307641,5,6,6 -- 5
Bow Trail / 14 Street SW,SW,http://trafficcam.calgary.ca/loc54.jpg,-114.0948040014521,51.04706627042842,5,6,6 -- 5
Bow Trail / Sarcee Trail SW,SW,http://trafficcam.calgary.ca/loc125.jpg,-114.16399131398035,51.052742563847396,4,6,6 -- 4
58 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc103.jpg,-114.07173401809428,51.00145667654332,6,5,5 -- 6
17 Avenue / 28 Street SE,SE,http://trafficcam.calgary.ca/loc14.jpg,-113.99308392333003,51.03774772678436,8,6,6 -- 8
Stoney Trail / Sarcee Trail NW,NW,http://trafficcam.calgary.ca/loc72.jpg,-114.16482098989194,51.15308253136481,4,9,9 -- 4
16 Avenue / 14 Street NW,NW,http://trafficcam.calgary.ca/loc39.jpg,-114.09399018889013,51.0669764532862,5,7,7 -- 5
Glenmore Trail / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc52.jpg,-114.03522595045008,50.99421555687499,7,5,5 -- 7
Macleod Trail S / 162 Avenue SE (East intersection),SE,http://trafficcam.calgary.ca/loc105.jpg,-114.06060442981493,50.90527949285797,6,2,2 -- 6
McKnight Boulevard / Barlow Trail NE,NE,http://trafficcam.calgary.ca/loc92.jpg,-114.00182810813601,51.09279212755802,7,7,7 -- 7
McKnight Blvd / Stoney Trail NE,NE,http://trafficcam.calgary.ca/loc115.jpg,-113.91586698819364,51.096758763885205,9,7,7 -- 9
Glenmore Trail / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc60.jpg,-114.05255439389026,50.99391337238797,6,5,5 -- 6
8 Avenue / 12 Street SE,SE,http://trafficcam.calgary.ca/loc43.jpg,-114.03358439425271,51.04203597674186,7,6,6 -- 7
Memorial Drive / 36 Street SE,SE,http://trafficcam.calgary.ca/loc41.jpg,-113.98156506898691,51.052108744370095,8,6,6 -- 8
Blackfoot Trail / 19 Street SE,SE,http://trafficcam.calgary.ca/loc117.jpg,-114.01790875930716,51.037649020503814,7,6,6 -- 7
194 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc44.jpg,-114.04406312885423,50.87564418104646,6,1,1 -- 6
9 Avenue / 5 Street SW,SW,http://trafficcam.calgary.ca/loc129.jpg,-114.07383364411969,51.04488493743964,6,6,6 -- 6
Stoney Trail / Chaparral Blvd SE,SE,http://trafficcam.calgary.ca/loc130.jpg,-114.02564585895384,50.88888071214248,7,2,2 -- 7
Bow Trail / Pumphouse Road SW,SW,http://trafficcam.calgary.ca/loc53.jpg,-114.10363543153677,51.047042681758356,5,6,6 -- 5
32 Avenue / 52 Street NE,NE,http://trafficcam.calgary.ca/loc45.jpg,-113.9582969280572,51.0815778252739,8,7,7 -- 8
Southland Drive / 14 Street SW,SW,http://trafficcam.calgary.ca/loc23.jpg,-114.0953543354463,50.96157194359114,5,4,4 -- 5
16 Avenue / Barlow Trail NE,NE,http://trafficcam.calgary.ca/loc93.jpg,-114.00208632167788,51.06677284646521,7,7,7 -- 7
Bow Trail / 6 Avenue SW,SW,http://trafficcam.calgary.ca/loc56.jpg,-114.09138126211613,51.04749304210881,5,6,6 -- 5
130 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc62.jpg,-113.95829107912638,50.931422574262285,8,3,3 -- 8
Glenmore Trail / Elbow Drive SW (East),SW,http://trafficcam.calgary.ca/loc6.jpg,-114.08423581441122,50.993916131551074,6,5,5 -- 6
8 Avenue / 11 Street SW,SW,http://trafficcam.calgary.ca/loc13.jpg,-114.08864084354408,51.04625798567086,5,6,6 -- 5
42 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc31.jpg,-114.06431260703579,51.015909926528145,6,5,5 -- 6
5 Avenue / 7 Street SW ,SW,http://trafficcam.calgary.ca/loc75.jpg,-114.0786008030082,51.048819960201854,6,6,6 -- 6
47 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc79.jpg,-114.00846679103628,51.010928190432566,7,5,5 -- 7
Samis Road / Centre Street North,NW/NE,http://trafficcam.calgary.ca/loc89.jpg,-114.06247391195606,51.05498342800613,6,6,6 -- 6
16 Avenue / Centre Street N,NW/NE,http://trafficcam.calgary.ca/loc127.jpg,-114.06263234782273,51.06679950676713,6,7,7 -- 6
16 Avenue / Home Rd NW,NW,http://trafficcam.calgary.ca/loc94.jpg,-114.16432736564332,51.07261241416542,4,7,7 -- 4
Bow Trail / 33 Street SW,SW,http://trafficcam.calgary.ca/loc61.jpg,-114.1355522025773,51.04138442552231,4,6,6 -- 4
4 Avenue / Macleod Trail S,SE,http://trafficcam.calgary.ca/loc33.jpg,-114.05783696566462,51.04919580378446,6,6,6 -- 6
Memorial Drive / 10A Street NW,NW,http://trafficcam.calgary.ca/loc58.jpg,-114.0905363076582,51.050950969827156,5,6,6 -- 5
16 Avenue / 19 Street NE,NE,http://trafficcam.calgary.ca/loc70.jpg,-114.01402450420576,51.06703730986153,7,7,7 -- 7
Macleod Trail S / 162 Avenue SE (West intersection),SE,http://trafficcam.calgary.ca/loc101.jpg,-114.06370256202469,50.90457455966962,6,2,2 -- 6
Glenmore Trail / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc0.jpg,-114.07158546728904,50.99398902428288,6,5,5 -- 6
16 Avenue / Sarcee Trail  NW,NW,http://trafficcam.calgary.ca/loc119.jpg,-114.18916027298323,51.08085249012069,3,7,7 -- 3
Barlow Trail / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc109.jpg,-113.98148874362879,50.94474223489822,8,3,3 -- 8
16 Avenue / Stoney Trail NE,NE,http://trafficcam.calgary.ca/loc83.jpg,-113.92040689128159,51.06768555184168,9,7,7 -- 9
McKnight Blvd / Metis Trail NE,NE,http://trafficcam.calgary.ca/loc63.jpg,-113.98078438719091,51.09570015501199,8,7,7 -- 8
32 Avenue / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc49.jpg,-114.03526901748144,51.08161365479812,7,7,7 -- 7
50 Avenue / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc2.jpg,-114.00184488956378,51.008623411112225,7,5,5 -- 7
Southland Drive / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc69.jpg,-114.03157690752774,50.96796035763481,7,4,4 -- 7
Southland Drive / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc48.jpg,-114.07135249371169,50.965141324903215,6,4,4 -- 6
5 Avenue btw 1 Street & 2 Street SW,SW,http://trafficcam.calgary.ca/loc26.jpg,-114.06641996216587,51.04848536763671,6,6,6 -- 6
John Laurie Blvd / Shaganappi Trail NW,NW,http://trafficcam.calgary.ca/loc47.jpg,-114.13984532857523,51.10884331769184,4,8,8 -- 4
162 Avenue / Shawville Blvd,SE,http://trafficcam.calgary.ca/loc116.jpg,-114.06598672895883,50.90433137165158,6,2,2 -- 6
210 Avenue / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc90.jpg,-114.03797668257992,50.86615764180886,7,1,1 -- 7
16 Avenue / 52 Street NE,NE,http://trafficcam.calgary.ca/loc68.jpg,-113.95842785122166,51.06671207421939,8,7,7 -- 8
Heritage Drive / 14 Street SW,SW,http://trafficcam.calgary.ca/loc24.jpg,-114.094846975957,50.97952967259846,5,4,4 -- 5
114 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc29.jpg,-113.95833098857952,50.95043954088319,8,3,3 -- 8
McKnight Blvd / 52 Street NE,NE,http://trafficcam.calgary.ca/loc12.jpg,-113.95821025231041,51.09588367800356,8,7,7 -- 8
Memorial Drive / Edmonton Trail NE,NE,http://trafficcam.calgary.ca/loc30.jpg,-114.05013565124169,51.050801779056385,6,6,6 -- 6
Glenmore Trail / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc98.jpg,-113.98149474257826,50.97944552703123,8,4,4 -- 8
Glenmore Trail / Stoney Trail SE,SE,http://trafficcam.calgary.ca/loc128.jpg,-113.92926315524146,50.97963485785634,9,4,4 -- 9
5 Avenue / 5 Street SW,SW,http://trafficcam.calgary.ca/loc122.jpg,-114.07364428554595,51.04867674593218,6,6,6 -- 6
9 Avenue / 3 Street SE,SE,http://trafficcam.calgary.ca/loc91.jpg,-114.05566366700614,51.044390139719866,6,6,6 -- 6
